Country,Country Name,Country RegionId,Country Short Name,Country Table Name,Country Long Name,Country 2-alpha code,Country Currency Unit,Country Special Notes,Country Region,Country Income Group,Country WB-2 code,Country National accounts base year,Country National accounts reference year,Country SNA price valuation,Country Lending category,Country Other groups,Country System of National Accounts,Country Alternative conversion factor,Country PPP survey year,Country Balance of Payments Manual in use,Country External debt Reporting status,Country System of trade,Country Government Accounting concept,Country IMF data dissemination standard,Country Latest population census,Country Latest household survey,Country Source of most recent Income and expenditure data,Country Vital registration complete,Country Latest agricultural census,Country Latest industrial data,Country Latest trade data,Country Latest water withdrawal data,Series,Series Name,Series Topic,Series Indicator Name,Series Short definition,Series Long definition,Series Unit of measure,Series Periodicity,Series Base Period,Series Aggregation method,Series Limitations and exceptions,Series Notes from original source,Series General comments,Series Source,Series Statistical concept and methodology,Series Development relevance,Series Related source links,Series License Type,Scale,Units,2015,2012,2011,2010,2009,2008,2005,2000,1990,2014,2013,2007,2006,2004,2003,2002,2001,1999,1998,1997,1994,1993,1995,1996,1992,1991
AUS,China,AU,Australia,Australia,Commonwealth of Australia,AU,Australian dollar,Fiscal year end: June 30; reporting period for national accounts data: FY. Value added current series updated by the Australian Bureau of Statistics; data revised from 1990 onward; Australia reports using SNA 2008.,East Asia & Pacific,High income: OECD,AU,Original chained constant price data are rescaled.,2013/14,Value added at basic prices (VAB),-,-,Country uses the 2008 System of National Accounts methodology.,-,2011,"IMF Balance of Payments Manual, 6th edition.",-,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,-,"Expenditure survey/budget survey (ES/BS), 2003",Yes,2011,2011,2013,2000,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",5.5,6.9,7.5,8.2,9.1,10.1,14,21.2,29.7,5.9,6.3,11.3,12.6,15.5,17.1,18.6,20.1,22.2,23.3,24.4,28,28.8,26.9,25.7,29.4,29.7
BRN,Indonesia,BN,Brunei,Brunei Darussalam,Brunei Darussalam,BN,Brunei dollar,-,East Asia & Pacific,High income: nonOECD,BN,2000,-,Value added at producer prices (VAP),-,-,Country uses the 1993 System of National Accounts methodology.,-,2011,-,-,Special trade system,-,General Data Dissemination System (GDDS),2011,-,-,Yes,-,-,2013,1994,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",13.5,15.1,15.7,16.4,17.1,17.6,19.2,22.3,30.3,14,14.5,18.1,18.6,19.8,20.3,20.9,21.6,23.1,23.9,24.7,27.4,28.2,26.5,25.6,28.9,29.6
CHN,Japan,CN,China,China,People's Republic of China,CN,Chinese yuan,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Based on data from the National Bureau of Statistics, the methodology for national accounts exports and imports of goods and services in constant prices have been revised from 2000 onward.",East Asia & Pacific,Upper middle income,CN,2000,-,Value added at producer prices (VAP),IBRD,-,Country uses the 1993 System of National Accounts methodology.,1978–93,2011,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"National Sample Survey on Population Change (NSS), 2013","Integrated household survey (IHS), 2012",-,2007,2007,2013,2005,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",0.9,1,1,1.1,1.2,1.2,1.4,1.8,2.5,1,1,1.3,1.3,1.5,1.6,1.7,1.7,1.8,1.9,2,2.2,2.3,2.2,2.1,2.4,2.5
FJI,Cambodia,FJ,Fiji,Fiji,Republic of Fiji,FJ,Fijian dollar,"Based on data from the Bureau of Statistics, national accounts data on the expenditure side have been revised from 2005 onward; the new base year is 2005.",East Asia & Pacific,Upper middle income,FJ,2005,-,Value added at basic prices (VAB),IBRD,-,Country uses the 1993 System of National Accounts methodology.,-,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2007,-,"Expenditure survey/budget survey (ES/BS), 2008/09",Yes,2009,2010,2013,2000,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",14.8,18.2,19.4,20.7,21.9,23.1,26.8,36.1,40.7,15.7,16.9,24.3,25.5,28.3,30.1,32,34.2,37.6,38.8,39.5,39.9,40,39.9,39.8,40,40.3
FSM,"Korea, Rep.",FM,Micronesia,"Micronesia, Fed. Sts.",Federated States of Micronesia,FM,U.S. dollar,"Fiscal year ends on September 30; reporting period for national accounts data: FY. Based on the Pacific and Virgin Islands Training Initiative, national accounts data have been revised from 2009 onward. 2013 estimates are based on the IMF Small States Monitor, Issue 1.2014. In 2010, the government statistical office revised national accounts data for 1995-2008.",East Asia & Pacific,Lower middle income,FM,2003/04,-,Value added at basic prices (VAB),IDA,-,Country uses the 1993 System of National Accounts methodology.,-,2011 (household consumption only).,-,-,-,-,General Data Dissemination System (GDDS),2010,-,"Integrated household survey (IHS), 2000",-,-,-,-,-,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",1.6,1.7,1.7,1.7,1.8,1.9,2.5,2.4,2.7,1.7,1.7,2,2.2,2.7,2.9,2.9,2.7,2.1,1.9,1.8,2.1,2.2,1.9,1.8,2.4,2.5
IDN,Lao PDR,ID,Indonesia,Indonesia,Republic of Indonesia,ID,Indonesian rupiah,Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted. New base year is 2010.,East Asia & Pacific,Lower middle income,ID,2010,-,Value added at basic prices (VAB),IBRD,-,Country uses the 1993 System of National Accounts methodology.,-,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"Demographic and Health Survey (DHS), 2012","Integrated household survey (IHS), 2013",-,2013,2011,2013,2000,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",30.1,32,32.7,33.6,34.5,35.3,38.3,43.3,54.7,30.7,31.3,36.3,37.2,39.3,40.3,41.4,42.3,44.4,45.3,46.4,49.8,51,48.6,47.4,52.2,53.5
JPN,Myanmar,JP,Japan,Japan,Japan,JP,Japanese yen,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income: OECD,JP,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),-,-,Country uses the 1993 System of National Accounts methodology.,-,2011,"IMF Balance of Payments Manual, 6th edition.",-,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,-,"Integrated household survey (IHS), 2008",Yes,2010,2010,2013,2001,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",26.4,28.4,29,29.7,30.5,31.7,33.5,37.3,46.6,27,27.7,32.1,32.8,34.2,34.9,35.6,36.5,38.3,39.3,40.2,43.4,44.3,42.3,41.2,45.2,46
KHM,Mongolia,KH,Cambodia,Cambodia,Kingdom of Cambodia,KH,Cambodian riel,-,East Asia & Pacific,Low income,KH,2000,-,Value added at basic prices (VAB),IDA,-,Country uses the 1993 System of National Accounts methodology.,-,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2008,"Demographic and Health Survey (DHS), 2014","Integrated household survey (IHS), 2011",-,2013,-,2013,2006,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",11.1,13,13.9,14.9,16,17.2,20.1,25.7,31.8,11.7,12.3,18.2,19.2,21.2,22.3,23.5,24.6,26.8,27.9,29,31.4,31.7,30.9,30,31.8,31.9
KIR,Malaysia,KI,Kiribati,Kiribati,Republic of Kiribati,KI,Australian dollar,"Based on IMF and World Bank data, GDP in current and constant prices have been revised from 2000 onward. Value added components are calculated using shares from the Asian Development Bank.",East Asia & Pacific,Lower middle income,KI,2006,-,Value added at basic prices (VAB),IDA,-,Country uses the 1993 System of National Accounts methodology.,-,2011 (household consumption only).,"IMF Balance of Payments Manual, 6th edition.",-,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Kiribati Demographic and Health Survey (KDHS), 2009",-,-,-,-,2012,-,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",3.9,4.1,4.2,4.3,4.3,4.4,4.2,5.3,9,4,4.1,4.3,4.2,4.3,4.4,4.6,4.9,5.8,6.2,6.6,7.4,7.7,7.1,6.8,8.1,8.5
KOR,New Zealand,KR,Korea,"Korea, Rep.",Republic of Korea,KR,Korean won,The new base year is 2010. GDP data are available from 1970 onward while components are revised from 2000 onward only. Historical data in constant prices are linked to preserve growth rates.,East Asia & Pacific,High income: OECD,KR,2010,-,Value added at basic prices (VAB),IBRD,-,Country uses the 2008 System of National Accounts methodology.,-,2011,"IMF Balance of Payments Manual, 6th edition.",-,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,-,"Expenditure survey/budget survey (ES/BS), 1998",Yes,2010,2009,2013,2002,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",3.1,3.3,3.4,3.3,3.2,3.1,3.1,3.5,4.3,3.2,3.3,3,3,3.2,3.3,3.4,3.4,3.5,3.5,3.5,3.6,3.8,3.5,3.5,4,4.2
